date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:27	64790/64790	---M-Z	200	added ('OK')	text/html	etag:%222c42002-fd16-5182969446252%22	http://martaniandemo.com/html/insurance/index.html	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/index.html	(from )
16:59:27	327/327	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202015%2005:59:24%20GMT	http://martaniandemo.com/robots.txt		(from )
16:59:28	28747/28747	---M-Z	200	added ('OK')	text/css	etag:%222c41c84-704b-5118c94a945d2%22	http://martaniandemo.com/html/insurance/_assets/_libs/font-awesome/css/font-awesome.css	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_libs/font-awesome/css/font-awesome.css	(from http://martaniandemo.com/html/insurance/index.html)
16:59:28	2967/2967	---M-Z	200	added ('OK')	text/css	etag:%22322182c-b97-511f556e0d9af%22	http://martaniandemo.com/html/insurance/_assets/_libs/no-ui-slider/jquery.nouislider.css	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_libs/no-ui-slider/jquery.nouislider.css	(from http://martaniandemo.com/html/insurance/index.html)
16:59:29	67096/67096	---M-Z	200	added ('OK')	text/css	etag:%222c41e70-10618-514b2099e77a2%22	http://martaniandemo.com/html/insurance/_assets/_libs/animate.css	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_libs/animate.css	(from http://martaniandemo.com/html/insurance/index.html)
16:59:29	117543/117543	---M-Z	200	added ('OK')	text/css	etag:%222c41c79-1cb27-519bbf933b872%22	http://martaniandemo.com/html/insurance/_assets/_css/style.css	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_css/style.css	(from http://martaniandemo.com/html/insurance/index.html)
16:59:49	120663/120663	---M--	200	added ('OK')	image/jpeg	etag:%222c4089d-1d757-51463fc6d1149%22	http://martaniandemo.com/html/insurance/_assets/_img/in-the-car.jpg	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_img/in-the-car.jpg	(from http://martaniandemo.com/html/insurance/index.html)
16:59:53	19517/19517	---M--	200	added ('OK')	image/png	etag:%222c409f5-4c3d-512919bc9f8d3%22	http://martaniandemo.com/html/insurance/_assets/_img/logo.png	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_img/logo.png	(from http://martaniandemo.com/html/insurance/index.html)
16:59:54	57393/57393	---M-Z	200	added ('OK')	text/html	etag:%222c40d47-e031-515d1ceb64c39%22	http://martaniandemo.com/html/insurance/blog.html	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/blog.html	(from http://martaniandemo.com/html/insurance/index.html)
16:59:54	180994/180994	---M--	200	added ('OK')	image/jpeg	etag:%222c40899-2c302-51463f90a327d%22	http://martaniandemo.com/html/insurance/_assets/_img/vacations.jpg	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_img/vacations.jpg	(from http://martaniandemo.com/html/insurance/index.html)
